#SDWL ;),Trippie Redd,Saint Michael V2,1700691350.0,1700793536.4524145
Whole Lotta Wickery,Shawny Binladen,Merry Wickmas,1608545466.0,1700451747.350143
nikoho,Dalyb,TEEN(R)AGE,1576080048.0,1673724336.695623
2 the Starz,WHITENER,Pretty Romantic Goon,1599236960.0,1690016506.2018087
Vaccine,Logic,Bobby Tarantino III,1627619953.0,1673765983.059953
Silk Lining,Salvatore Ganacci,Culturally Appropriate,1669791309.0,1675248596.9670942
Hard in da paint (feat. Jay BDz),MHG Dell,191,1686207792.0,1689652353.8903666
Planet Shark,K$upreme,Me vs. me,1667407164.0,1680880216.1948433
0000000,JEEMBO,M.I.A.,1656576834.0,1677206996.8783042
Photogenic,TELLY GRAVE,Drugstore Cowboy,1576260037.0,1695847578.0693576
Navou,JRK 19,#FreeJRK,1700214771.0,1702138200.23026
Feel Like Hect,Shawny Binladen,Wickipedia (Deluxe),1633855275.0,1697387639.003855
PANACEA,STIV4TRAP,STIV COLLECTION,1678984222.0,1708488161.1657684
Dior Suit Business,A$AP ANT,Lil Black Jean Jacket 2 (Ruby Edition),1633113766.0,1673724885.9145434
Motorest,Gleb,Motorest,1572586833.0,1673724514.13149
The trap was cold,Big YAYA,Grinchin Since A Baby,1666060629.0,1700432120.9314616
Not Today (feat. RMC Mike),YN Jay,Drake N Josh,1658425981.0,1673724554.9692235
outta control - nour & el antably,nour,daydreamer,1694585319.0,1699155982.9423258
So Clean,Shawny Binladen,Waiting on Wick,1638387271.0,1697329804.0546875
Used To Me,Mario,Used To Me,1675994621.0,1697077266.7054603
Raiders,TVETH,CAPITAL,1593564674.0,1677208233.3352032
MUST COME DOWN,FOUR50,1159 LYFE (SUNSSET EDITION),1652960611.0,1683308113.1539702
LET THAT BEAT DROP,Big GLTAOW,THE NOTORIOUS B.I.GLTAOW,1703723475.0,1708665529.512472
Fake FWM,THOUXANBANFAUNI,The Lost Files,1596516811.0,1697931484.996486
Kurosaka Strikes!,Flying Lotus,Yasuke,1619774674.0,1694830767.45585
J'fais mon tour,Bob Marlich,J'fais mon tour,1690476646.0,1696296101.380325
Jimmy G Neutron,FOUR50,Unor4odox,1642346267.0,1683307861.9781904
